dataset,accession_or_source_id,domain,n_cells,n_genes,disk_mb,benchmark_filename,classification,curated_columns,proxy_columns,time_columns,n_obs_cols,species_inferred,species_inference_basis,tissue_family_inferred,tissue_inference_basis,platform,cluster_count,units,qc_normalization,metadata_status,public_data_access_note,public_release_scope,c8_status
GSE145929_UrineMmDev,GSE145929,development,29331,31053,391.5,GSE145929_UrineMmDev.h5ad,none,,,,1,mouse,inferred_from_dataset_name_token,urinary,inferred_from_dataset_name_token,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_inferred_from_existing_manifest,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:source_platform_units_qc_unavailable
GSE124310_MMHmCancer,GSE124310,cancer,27796,33694,189.2,GSE124310_MMHmCancer.h5ad,none,,,,0,human,inferred_from_dataset_name_token,hematologic_cancer,inferred_from_dataset_name_token,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_inferred_from_existing_manifest,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:source_platform_units_qc_unavailable
GSE123813_sccHmCancer,GSE123813,cancer,26016,18347,3644.0,GSE123813_sccHmCancer.h5ad,none,,,,0,human,inferred_from_dataset_name_token,skin,inferred_from_dataset_name_token,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_inferred_from_existing_manifest,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:source_platform_units_qc_unavailable
lung,lung,development,24882,24051,470.7,lung.h5ad,proxy,,louvain; clusters,,10,unknown,manual_review_required,lung,inferred_from_dataset_name_token,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_needs_manual_curation,legacy_short_name; original public provider not resolved in existing manifest,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:species_manual_review+source_platform_units_qc_unavailable
GSE213740_ADHm,GSE213740,development,23871,58825,491.7,GSE213740_ADHm.h5ad,none,,,,1,human,inferred_from_dataset_name_token,development,domain_only,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_inferred_from_existing_manifest,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:source_platform_units_qc_unavailable
GSE168181_BreastHmCancer,GSE168181,cancer,23556,31053,254.1,GSE168181_BreastHmCancer.h5ad,none,,,,1,human,inferred_from_dataset_name_token,breast,inferred_from_dataset_name_token,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_inferred_from_existing_manifest,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:source_platform_units_qc_unavailable
hemato,hemato,development,22602,32288,1007.2,hemato.h5ad,none,,,,17,unknown,manual_review_required,blood_immune,inferred_from_dataset_name_token,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_needs_manual_curation,legacy_short_name; original public provider not resolved in existing manifest,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:species_manual_review+source_platform_units_qc_unavailable
GSE225857_liverColonMetasisHmCancer,GSE225857,cancer,22260,17943,510.5,GSE225857_liverColonMetasisHmCancer.h5ad,none,,,,1,human,inferred_from_dataset_name_token,digestive_liver_gastric_colon,inferred_from_dataset_name_token,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_inferred_from_existing_manifest,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:source_platform_units_qc_unavailable
GSE115571_LPSMmDev,GSE115571,development,19998,14426,2202.5,GSE115571_LPSMmDev.h5ad,none,,,,1,mouse,inferred_from_dataset_name_token,development,domain_only,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_inferred_from_existing_manifest,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:source_platform_units_qc_unavailable
GSE165844_LSKMmBatch,GSE165844,development,19791,26599,381.7,GSE165844_LSKMmBatch.h5ad,none,,,,1,mouse,inferred_from_dataset_name_token,blood_immune,inferred_from_dataset_name_token,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_inferred_from_existing_manifest,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:source_platform_units_qc_unavailable
dentate,dentate,development,18213,27998,966.5,dentate.h5ad,none,,,,31,unknown_or_legacy_short_name,manual_review_required,brain_neural,inferred_from_dataset_name_token,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_needs_manual_curation,legacy_short_name; original public provider not resolved in existing manifest,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:species_manual_review+source_platform_units_qc_unavailable
GSE155109_bcStromaHmCancer,GSE155109,cancer,18082,13342,1842.1,GSE155109_bcStromaHmCancer.h5ad,none,,,,0,human,inferred_from_dataset_name_token,cancer,domain_only,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_inferred_from_existing_manifest,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:source_platform_units_qc_unavailable
GSE283205_hepatoblastomaCancer,GSE283205,cancer,16506,18082,188.0,GSE283205_hepatoblastomaCancer.h5ad,none,,,,0,unknown,manual_review_required,digestive_liver_gastric_colon,inferred_from_dataset_name_token,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_needs_manual_curation,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:species_manual_review+source_platform_units_qc_unavailable
GSE167597_spineMm,GSE167597,development,16042,21457,1314.9,GSE167597_spineMm.h5ad,none,,,,0,mouse,inferred_from_dataset_name_token,brain_neural,inferred_from_dataset_name_token,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_inferred_from_existing_manifest,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:source_platform_units_qc_unavailable
GSE226131_HSCMmAged,GSE226131,development,15793,31053,228.7,GSE226131_HSCMmAged.h5ad,none,,,,0,mouse,inferred_from_dataset_name_token,blood_immune,inferred_from_dataset_name_token,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_inferred_from_existing_manifest,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:source_platform_units_qc_unavailable
GSE120505_bloodAged,GSE120505,development,14588,14697,819.2,GSE120505_bloodAged.h5ad,none,,,,0,unknown,manual_review_required,blood_immune,inferred_from_dataset_name_token,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_needs_manual_curation,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:species_manual_review+source_platform_units_qc_unavailable
ifnHSPC_GSE226824,GSE226824,development,13310,27998,335.5,ifnHSPC_GSE226824.h5ad,none,,,,1,unknown,manual_review_required,blood_immune,inferred_from_dataset_name_token,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_needs_manual_curation,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:species_manual_review+source_platform_units_qc_unavailable
GSE149655_CAHmCancer,GSE149655,cancer,13060,33538,172.8,GSE149655_CAHmCancer.h5ad,none,,,,1,human,inferred_from_dataset_name_token,cancer,domain_only,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_inferred_from_existing_manifest,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:source_platform_units_qc_unavailable
GSE117988_MCCPBMCCancer,GSE117988,cancer,12874,17712,1741.1,GSE117988_MCCPBMCCancer.h5ad,none,,,,0,human,inferred_from_dataset_name_token,blood_immune,inferred_from_dataset_name_token,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_inferred_from_existing_manifest,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:source_platform_units_qc_unavailable
GSE143423_lbm_CancerBrainHm,GSE143423,cancer,12196,13375,623.4,GSE143423_lbm_CancerBrainHm.h5ad,none,,,,0,human,inferred_from_dataset_name_token,blood_immune,inferred_from_dataset_name_token,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_inferred_from_existing_manifest,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:source_platform_units_qc_unavailable
GSE165784_RetinaHmDev,GSE165784,development,11492,15897,228.3,GSE165784_RetinaHmDev.h5ad,none,,,,1,human,inferred_from_dataset_name_token,brain_neural,inferred_from_dataset_name_token,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_inferred_from_existing_manifest,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:source_platform_units_qc_unavailable
GSE192857_hESCHmTimes,GSE192857,development,11067,33538,316.9,GSE192857_hESCHmTimes.h5ad,none,,,,1,human,inferred_from_dataset_name_token,development_stem,inferred_from_dataset_name_token,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_inferred_from_existing_manifest,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:source_platform_units_qc_unavailable
GSE130148_LungHmDev,GSE130148,development,10360,16327,1292.0,GSE130148_LungHmDev.h5ad,curated,celltype(13),,,8,human,inferred_from_dataset_name_token,lung,inferred_from_dataset_name_token,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_inferred_from_existing_manifest,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:source_platform_units_qc_unavailable
GSE148215_hESCHSPCD8Hm,GSE148215,development,10110,33538,2589.0,GSE148215_hESCHSPCD8Hm.h5ad,none,,,,1,human,inferred_from_dataset_name_token,blood_immune,inferred_from_dataset_name_token,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_inferred_from_existing_manifest,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:source_platform_units_qc_unavailable
hESC_GSE144024,GSE144024,development,9485,20335,1472.8,hESC_GSE144024.h5ad,none,,,,0,human,inferred_from_dataset_name_token,development_stem,inferred_from_dataset_name_token,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_inferred_from_existing_manifest,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:source_platform_units_qc_unavailable
GSE155109_bcECHmCancer,GSE155109,cancer,8433,12214,786.8,GSE155109_bcECHmCancer.h5ad,none,,,,0,human,inferred_from_dataset_name_token,cancer,domain_only,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_inferred_from_existing_manifest,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:source_platform_units_qc_unavailable
GSE117988_MCCTumorCancer,GSE117988,cancer,7431,21861,1240.7,GSE117988_MCCTumorCancer.h5ad,none,,,,0,unknown,manual_review_required,cancer,domain_only,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_needs_manual_curation,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:species_manual_review+source_platform_units_qc_unavailable
GSE143423_tnbc_CancerBrainHm,GSE143423,cancer,7246,19826,549.2,GSE143423_tnbc_CancerBrainHm.h5ad,none,,,,0,human,inferred_from_dataset_name_token,breast,inferred_from_dataset_name_token,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_inferred_from_existing_manifest,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:source_platform_units_qc_unavailable
GSE275119_TeethMmDev,GSE275119,development,6764,31053,126.6,GSE275119_TeethMmDev.h5ad,none,,,,0,human,inferred_from_dataset_name_token,development_stem,inferred_from_dataset_name_token,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_inferred_from_existing_manifest,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:source_platform_units_qc_unavailable
setty,setty,development,5780,27876,370.4,setty.h5ad,proxy,,clusters,palantir_pseudotime,3,unknown_or_legacy_short_name,manual_review_required,development_stem,inferred_from_dataset_name_token,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_needs_manual_curation,legacy_short_name; original public provider not resolved in existing manifest,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:species_manual_review+source_platform_units_qc_unavailable
GSE142653pitHmDev,GSE142653,development,5181,24190,957.4,GSE142653pitHmDev.h5ad,none,,,,0,human,inferred_from_dataset_name_token,development,domain_only,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_inferred_from_existing_manifest,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:source_platform_units_qc_unavailable
GSE98638_TcellLiverHmCancer,GSE98638,cancer,5063,23459,907.3,GSE98638_TcellLiverHmCancer.h5ad,none,,,,0,human,inferred_from_dataset_name_token,blood_immune,inferred_from_dataset_name_token,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_inferred_from_existing_manifest,public_accession_inferred_from_dataset_identifier; obtain authorized data from original GEO/provider record,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:source_platform_units_qc_unavailable
endo,endo,development,2531,27998,112.1,endo.h5ad,proxy,,clusters,palantir_pseudotime,11,unknown_or_legacy_short_name,manual_review_required,development_stem,inferred_from_dataset_name_token,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,not_available_in_existing_manifest,draft_needs_manual_curation,legacy_short_name; original public provider not resolved in existing manifest,metadata_only_no_raw_data_or_private_paths,limited_by_existing_manifest:species_manual_review+source_platform_units_qc_unavailable
